16.6183 	EXP 	grating: ori = np.float64(1.5)
16.6183 	EXP 	fixation: autoDraw = True
16.8008 	EXP 	Device response: <KeyPress from None: t=16.59812669999883, value=left, duration=0.19913349999842467>
17.1014 	INFO 	Keyboard events cleared
17.1013 	EXP 	grating: autoDraw = True
17.1170 	EXP 	fixation: autoDraw = False
17.4011 	EXP 	grating: autoDraw = False
17.6848 	EXP 	Device response: <KeyPress from None: t=17.67891459999737, value=left, duration=None>
17.6855 	DATA 	Keypress: left
17.7008 	EXP 	fixation: autoDraw = False
17.7008 	EXP 	grating: autoDraw = False
17.7008 	EXP 	grating: ori = np.float64(2.0)
17.7008 	EXP 	fixation: autoDraw = True
17.8176 	EXP 	Device response: <KeyPress from None: t=17.67891459999737, value=left, duration=0.13469270000132383>
18.1847 	INFO 	Keyboard events cleared
18.1846 	EXP 	grating: autoDraw = True
18.1999 	EXP 	fixation: autoDraw = False
18.4846 	EXP 	grating: autoDraw = False
19.0683 	EXP 	Device response: <KeyPress from None: t=19.053083999999217, value=left, duration=None>
19.0690 	DATA 	Keypress: left
19.0840 	EXP 	fixation: autoDraw = False
19.0840 	EXP 	grating: autoDraw = False
19.0840 	EXP 	grating: ori = np.float64(-2.5)
19.0840 	EXP 	fixation: autoDraw = True
19.2001 	EXP 	Device response: <KeyPress from None: t=19.053083999999217, value=left, duration=0.13447919999816804>
19.5842 	INFO 	Keyboard events cleared
19.5841 	EXP 	fixation: autoDraw = False
19.5841 	EXP 	grating: autoDraw = True
19.8838 	EXP 	grating: autoDraw = False
19.9494 	EXP 	Device response: <KeyPress from None: t=19.945005599998694, value=right, duration=None>
19.9501 	DATA 	Keypress: right
19.9672 	EXP 	fixation: autoDraw = False
19.9672 	EXP 	grating: autoDraw = False
19.9672 	EXP 	grating: ori = np.float64(3.0)
19.9672 	EXP 	fixation: autoDraw = True
20.1345 	EXP 	Device response: <KeyPress from None: t=19.945005599998694, value=right, duration=0.1790225000004284>
20.4512 	INFO 	Keyboard events cleared
20.4511 	EXP 	grating: autoDraw = True
20.4681 	EXP 	fixation: autoDraw = False
20.7672 	EXP 	grating: autoDraw = False
21.0830 	EXP 	Device response: <KeyPress from None: t=21.07001969999692, value=right, duration=None>
21.0836 	DATA 	Keypress: right
21.1002 	EXP 	fixation: autoDraw = False
21.1002 	EXP 	grating: autoDraw = False
21.1002 	EXP 	grating: ori = np.float64(3.0)
21.1002 	EXP 	fixation: autoDraw = True
21.2174 	EXP 	Device response: <KeyPress from None: t=21.07001969999692, value=right, duration=0.14445220000197878>
21.5842 	INFO 	Keyboard events cleared
21.5841 	EXP 	grating: autoDraw = True
21.6013 	EXP 	fixation: autoDraw = False
21.9002 	EXP 	grating: autoDraw = False
22.5324 	EXP 	Device response: <KeyPress from None: t=22.529748299999483, value=right, duration=None>
22.5330 	DATA 	Keypress: right
22.5511 	EXP 	fixation: autoDraw = False
22.5511 	EXP 	grating: autoDraw = False
